INJSEV,CarAge,MAKE,SEATPOS,DriverAge,DriverSex,TotalResult
0,0,2.0,1.0,4.0,1.0,0.40157104412682576
0,0,2.0,1.0,4.0,2.0,0.4130110088766902
0,0,2.0,1.0,5.0,1.0,0.3972595197440934
0,0,2.0,1.0,5.0,2.0,0.40869948449395777
0,0,2.0,1.0,6.0,1.0,0.39693342912304264
0,0,2.0,1.0,6.0,2.0,0.408373393872907
0,0,2.0,1.0,7.0,1.0,0.3990905901329156
0,0,2.0,1.0,7.0,2.0,0.41053055488278006
0,0,2.0,1.0,8.0,1.0,0.3999724680927906
0,0,2.0,1.0,8.0,2.0,0.41141243284265505
0,0,2.0,2.0,4.0,1.0,0.419488148365511
0,0,2.0,2.0,4.0,2.0,0.4309281131153754
0,0,2.0,2.0,5.0,1.0,0.41517662398277866
0,0,2.0,2.0,5.0,2.0,0.426616588732643
0,0,2.0,2.0,6.0,1.0,0.4148505333617279
0,0,2.0,2.0,6.0,2.0,0.42629049811159236
0,0,2.0,2.0,7.0,1.0,0.41700769437160085
0,0,2.0,2.0,7.0,2.0,0.4284476591214652
0,0,2.0,2.0,8.0,1.0,0.41788957233147583
0,0,2.0,2.0,8.0,2.0,0.4293295370813402
0,0,2.0,3.0,4.0,1.0,0.4246579100972844
0,0,2.0,3.0,4.0,2.0,0.4360978748471488
0,0,2.0,3.0,5.0,1.0,0.420346385714552
0,0,2.0,3.0,5.0,2.0,0.4317863504644164
0,0,2.0,3.0,6.0,1.0,0.42002029509350125
0,0,2.0,3.0,6.0,2.0,0.4314602598433657
0,0,2.0,3.0,7.0,1.0,0.4221774561033742
0,0,2.0,3.0,7.0,2.0,0.43361742085323857
0,0,2.0,3.0,8.0,1.0,0.4230593340632492
0,0,2.0,3.0,8.0,2.0,0.43449929881311355
0,0,2.0,4.0,4.0,1.0,0.391691679416577
0,0,2.0,4.0,4.0,2.0,0.40313164416644137
0,0,2.0,4.0,5.0,1.0,0.3873801550338447
0,0,2.0,4.0,5.0,2.0,0.39882011978370907
0,0,2.0,4.0,6.0,1.0,0.38705406441279394
0,0,2.0,4.0,6.0,2.0,0.3984940291626583
0,0,2.0,4.0,7.0,1.0,0.3892112254226669
0,0,2.0,4.0,7.0,2.0,0.40065119017253126
0,0,2.0,4.0,8.0,1.0,0.3900931033825419
0,0,2.0,4.0,8.0,2.0,0.40153306813240625
0,0,6.0,1.0,4.0,1.0,0.4027510859388708
0,0,6.0,1.0,4.0,2.0,0.4141910506887352
0,0,6.0,1.0,5.0,1.0,0.3984395615561384
0,0,6.0,1.0,5.0,2.0,0.4098795263060028
0,0,6.0,1.0,6.0,1.0,0.39811347093508764
0,0,6.0,1.0,6.0,2.0,0.4095534356849521
0,0,6.0,1.0,7.0,1.0,0.4002706319449606
0,0,6.0,1.0,7.0,2.0,0.411710596694825
0,0,6.0,1.0,8.0,1.0,0.4011525099048356
0,0,6.0,1.0,8.0,2.0,0.41259247465469995
0,0,6.0,2.0,4.0,1.0,0.4206681901775561
0,0,6.0,2.0,4.0,2.0,0.43210815492742044
0,0,6.0,2.0,5.0,1.0,0.41635666579482367
0,0,6.0,2.0,5.0,2.0,0.42779663054468803
0,0,6.0,2.0,6.0,1.0,0.4160305751737729
0,0,6.0,2.0,6.0,2.0,0.42747053992363726
0,0,6.0,2.0,7.0,1.0,0.41818773618364585
0,0,6.0,2.0,7.0,2.0,0.4296277009335103
0,0,6.0,2.0,8.0,1.0,0.41906961414352084
0,0,6.0,2.0,8.0,2.0,0.4305095788933853
0,0,6.0,3.0,4.0,1.0,0.4258379519093293
0,0,6.0,3.0,4.0,2.0,0.4372779166591937
0,0,6.0,3.0,5.0,1.0,0.421526427526597
0,0,6.0,3.0,5.0,2.0,0.4329663922764614
0,0,6.0,3.0,6.0,1.0,0.42120033690554626
0,0,6.0,3.0,6.0,2.0,0.4326403016554107
0,0,6.0,3.0,7.0,1.0,0.4233574979154192
0,0,6.0,3.0,7.0,2.0,0.43479746266528363
0,0,6.0,3.0,8.0,1.0,0.4242393758752942
0,0,6.0,3.0,8.0,2.0,0.43567934062515856
0,0,6.0,4.0,4.0,1.0,0.392871721228622
0,0,6.0,4.0,4.0,2.0,0.40431168597848643
0,0,6.0,4.0,5.0,1.0,0.3885601968458897
0,0,6.0,4.0,5.0,2.0,0.40000016159575413
0,0,6.0,4.0,6.0,1.0,0.388234106224839
0,0,6.0,4.0,6.0,2.0,0.39967407097470337
0,0,6.0,4.0,7.0,1.0,0.39039126723471196
0,0,6.0,4.0,7.0,2.0,0.4018312319845763
0,0,6.0,4.0,8.0,1.0,0.3912731451945869
0,0,6.0,4.0,8.0,2.0,0.4027131099444513
0,0,7.0,1.0,4.0,1.0,0.40099103227486915
0,0,7.0,1.0,4.0,2.0,0.4124309970247335
0,0,7.0,1.0,5.0,1.0,0.39667950789213685
0,0,7.0,1.0,5.0,2.0,0.4081194726420012
0,0,7.0,1.0,6.0,1.0,0.3963534172710861
0,0,7.0,1.0,6.0,2.0,0.40779338202095045
0,0,7.0,1.0,7.0,1.0,0.39851057828095904
0,0,7.0,1.0,7.0,2.0,0.4099505430308234
0,0,7.0,1.0,8.0,1.0,0.399392456240834
0,0,7.0,1.0,8.0,2.0,0.4108324209906984
0,0,7.0,2.0,4.0,1.0,0.4189081365135544
0,0,7.0,2.0,4.0,2.0,0.43034810126341877
0,0,7.0,2.0,5.0,1.0,0.4145966121308221
0,0,7.0,2.0,5.0,2.0,0.42603657688068647
0,0,7.0,2.0,6.0,1.0,0.41427052150977134
0,0,7.0,2.0,6.0,2.0,0.4257104862596357
0,0,7.0,2.0,7.0,1.0,0.4164276825196443
0,0,7.0,2.0,7.0,2.0,0.42786764726950866
0,0,7.0,2.0,8.0,1.0,0.4173095604795193
0,0,7.0,2.0,8.0,2.0,0.42874952522938364
0,0,7.0,3.0,4.0,1.0,0.42407789824532777
0,0,7.0,3.0,4.0,2.0,0.43551786299519213
0,0,7.0,3.0,5.0,1.0,0.41976637386259535
0,0,7.0,3.0,5.0,2.0,0.4312063386124597
0,0,7.0,3.0,6.0,1.0,0.4194402832415446
0,0,7.0,3.0,6.0,2.0,0.43088024799140906
0,0,7.0,3.0,7.0,1.0,0.42159744425141754
0,0,7.0,3.0,7.0,2.0,0.43303740900128196
0,0,7.0,3.0,8.0,1.0,0.42247932221129253
0,0,7.0,3.0,8.0,2.0,0.4339192869611569
0,0,7.0,4.0,4.0,1.0,0.39111166756462046
0,0,7.0,4.0,4.0,2.0,0.4025516323144848
0,0,7.0,4.0,5.0,1.0,0.38680014318188805
0,0,7.0,4.0,5.0,2.0,0.39824010793175246
0,0,7.0,4.0,6.0,1.0,0.38647405256083733
0,0,7.0,4.0,6.0,2.0,0.39791401731070175
0,0,7.0,4.0,7.0,1.0,0.3886312135707103
0,0,7.0,4.0,7.0,2.0,0.40007117832057465
0,0,7.0,4.0,8.0,1.0,0.3895130915305852
0,0,7.0,4.0,8.0,2.0,0.40095305628044964
0,0,12.0,1.0,4.0,1.0,0.39771108687973866
0,0,12.0,1.0,4.0,2.0,0.409151051629603
0,0,12.0,1.0,5.0,1.0,0.39339956249700625
0,0,12.0,1.0,5.0,2.0,0.40483952724687067
0,0,12.0,1.0,6.0,1.0,0.39307347187595554
0,0,12.0,1.0,6.0,2.0,0.40451343662581996
0,0,12.0,1.0,7.0,1.0,0.3952306328858285
0,0,12.0,1.0,7.0,2.0,0.40667059763569285
0,0,12.0,1.0,8.0,1.0,0.3961125108457034
0,0,12.0,1.0,8.0,2.0,0.40755247559556784
0,0,12.0,2.0,4.0,1.0,0.4156281911184239
0,0,12.0,2.0,4.0,2.0,0.4270681558682883
0,0,12.0,2.0,5.0,1.0,0.4113166667356915
0,0,12.0,2.0,5.0,2.0,0.42275663148555587
0,0,12.0,2.0,6.0,1.0,0.41099057611464074
0,0,12.0,2.0,6.0,2.0,0.42243054086450516
0,0,12.0,2.0,7.0,1.0,0.4131477371245137
0,0,12.0,2.0,7.0,2.0,0.42458770187437817
0,0,12.0,2.0,8.0,1.0,0.4140296150843887
0,0,12.0,2.0,8.0,2.0,0.42546957983425315
0,0,12.0,3.0,4.0,1.0,0.4207979528501973
0,0,12.0,3.0,4.0,2.0,0.43223791760006164
0,0,12.0,3.0,5.0,1.0,0.41648642846746486
0,0,12.0,3.0,5.0,2.0,0.4279263932173293
0,0,12.0,3.0,6.0,1.0,0.41616033784641415
0,0,12.0,3.0,6.0,2.0,0.4276003025962785
0,0,12.0,3.0,7.0,1.0,0.4183174988562871
0,0,12.0,3.0,7.0,2.0,0.4297574636061515
0,0,12.0,3.0,8.0,1.0,0.41919937681616204
0,0,12.0,3.0,8.0,2.0,0.4306393415660265
0,0,12.0,4.0,4.0,1.0,0.3878317221694899
0,0,12.0,4.0,4.0,2.0,0.3992716869193543
0,0,12.0,4.0,5.0,1.0,0.3835201977867576
0,0,12.0,4.0,5.0,2.0,0.394960162536622
0,0,12.0,4.0,6.0,1.0,0.38319410716570684
0,0,12.0,4.0,6.0,2.0,0.3946340719155712
0,0,12.0,4.0,7.0,1.0,0.3853512681755798
0,0,12.0,4.0,7.0,2.0,0.39679123292544416
0,0,12.0,4.0,8.0,1.0,0.3862331461354548
0,0,12.0,4.0,8.0,2.0,0.39767311088531915
0,0,13.0,1.0,4.0,1.0,0.3994720742243798
0,0,13.0,1.0,4.0,2.0,0.41091203897424416
0,0,13.0,1.0,5.0,1.0,0.3951605498416474
0,0,13.0,1.0,5.0,2.0,0.4066005145915118
0,0,13.0,1.0,6.0,1.0,0.3948344592205967
0,0,13.0,1.0,6.0,2.0,0.40627442397046104
0,0,13.0,1.0,7.0,1.0,0.39699162023046963
0,0,13.0,1.0,7.0,2.0,0.40843158498033405
0,0,13.0,1.0,8.0,1.0,0.39787349819034457
0,0,13.0,1.0,8.0,2.0,0.40931346294020904
0,0,13.0,2.0,4.0,1.0,0.41738917846306506
0,0,13.0,2.0,4.0,2.0,0.4288291432129294
0,0,13.0,2.0,5.0,1.0,0.41307765408033265
0,0,13.0,2.0,5.0,2.0,0.424517618830197
0,0,13.0,2.0,6.0,1.0,0.4127515634592819
0,0,13.0,2.0,6.0,2.0,0.42419152820914635
0,0,13.0,2.0,7.0,1.0,0.41490872446915483
0,0,13.0,2.0,7.0,2.0,0.42634868921901925
0,0,13.0,2.0,8.0,1.0,0.4157906024290298
0,0,13.0,2.0,8.0,2.0,0.4272305671788942
0,0,13.0,3.0,4.0,1.0,0.4225589401948384
0,0,13.0,3.0,4.0,2.0,0.4339989049447028
0,0,13.0,3.0,5.0,1.0,0.418247415812106
0,0,13.0,3.0,5.0,2.0,0.4296873805619704
0,0,13.0,3.0,6.0,1.0,0.4179213251910553
0,0,13.0,3.0,6.0,2.0,0.4293612899409197
0,0,13.0,3.0,7.0,1.0,0.42007848620092825
0,0,13.0,3.0,7.0,2.0,0.4315184509507926
0,0,13.0,3.0,8.0,1.0,0.4209603641608032
0,0,13.0,3.0,8.0,2.0,0.4324003289106676
0,0,13.0,4.0,4.0,1.0,0.38959270951413105
0,0,13.0,4.0,4.0,2.0,0.4010326742639954
0,0,13.0,4.0,5.0,1.0,0.38528118513139875
0,0,13.0,4.0,5.0,2.0,0.3967211498812631
0,0,13.0,4.0,6.0,1.0,0.384955094510348
0,0,13.0,4.0,6.0,2.0,0.39639505926021235
0,0,13.0,4.0,7.0,1.0,0.38711225552022094
0,0,13.0,4.0,7.0,2.0,0.3985522202700853
0,0,13.0,4.0,8.0,1.0,0.3879941334800959
0,0,13.0,4.0,8.0,2.0,0.3994340982299603
0,0,19.0,1.0,4.0,1.0,0.39728452061312575
0,0,19.0,1.0,4.0,2.0,0.4087244853629901
0,0,19.0,1.0,5.0,1.0,0.39297299623039333
0,0,19.0,1.0,5.0,2.0,0.4044129609802577
0,0,19.0,1.0,6.0,1.0,0.39264690560934257
0,0,19.0,1.0,6.0,2.0,0.404086870359207
0,0,19.0,1.0,7.0,1.0,0.3948040666192155
0,0,19.0,1.0,7.0,2.0,0.40624403136908
0,0,19.0,1.0,8.0,1.0,0.3956859445790905
0,0,19.0,1.0,8.0,2.0,0.407125909328955
0,0,19.0,2.0,4.0,1.0,0.415201624851811
0,0,19.0,2.0,4.0,2.0,0.42664158960167536
0,0,19.0,2.0,5.0,1.0,0.4108901004690786
0,0,19.0,2.0,5.0,2.0,0.42233006521894295
0,0,19.0,2.0,6.0,1.0,0.4105640098480278
0,0,19.0,2.0,6.0,2.0,0.4220039745978923
0,0,19.0,2.0,7.0,1.0,0.4127211708579008
